selection_rank,sample_id,source,disaster_gt,disaster_pred,victim_gt,victim_pred,disaster_prob_0,disaster_prob_1,disaster_prob_2,disaster_prob_3,victim_prob_0,victim_prob_1,reliability_rgb,reliability_pseudo_thermal,reliability_audio,error_count,error_confidence,selection_rule
1,aider_000579,aider,1,0,0,1,0.9845661520957947,0.0072398716583848,0.0032760377507656813,0.004917915444821119,0.4248146116733551,0.5751853585243225,0.99951171875,3.814697265625e-06,1.0,2,0.9845661520957947,"error_count desc, error_confidence desc, sample_id asc"
2,firenet_000417,firenet,1,0,0,1,0.9818088412284851,0.005889585707336664,0.005057347007095814,0.007244314532727003,0.37963709235191345,0.6203628778457642,0.05560302734375,1.0,1.0,2,0.9818088412284851,"error_count desc, error_confidence desc, sample_id asc"
3,c2a_006783,c2a,1,0,1,0,0.977373480796814,0.009023302234709263,0.006575851235538721,0.007027353625744581,0.6522414088249207,0.34775859117507935,1.0,0.96044921875,1.0,2,0.977373480796814,"error_count desc, error_confidence desc, sample_id asc"
4,c2a_002627,c2a,1,0,1,0,0.9772304892539978,0.008934304118156433,0.006971646100282669,0.006863560993224382,0.6871315836906433,0.3128683865070343,1.0,0.9833984375,1.0,2,0.9772304892539978,"error_count desc, error_confidence desc, sample_id asc"
5,c2a_008948,c2a,1,0,1,0,0.976884663105011,0.012762075290083885,0.005206946283578873,0.005146283656358719,0.5245164632797241,0.4754835367202759,1.0,1.1920928955078125e-07,1.0,2,0.976884663105011,"error_count desc, error_confidence desc, sample_id asc"
6,firenet_000576,firenet,1,0,0,1,0.9755880832672119,0.01131364144384861,0.006421186961233616,0.006676977965980768,0.3428190350532532,0.6571810245513916,0.042633056640625,1.0,1.0,2,0.9755880832672119,"error_count desc, error_confidence desc, sample_id asc"
7,aider_000466,aider,2,0,0,1,0.9747691750526428,0.008549497462809086,0.009136512875556946,0.007544904947280884,0.20157736539840698,0.798422634601593,1.0,1.0,0.0,2,0.9747691750526428,"error_count desc, error_confidence desc, sample_id asc"
8,firenet_000503,firenet,1,0,0,1,0.9744731783866882,0.0105077363550663,0.007494887802749872,0.0075242226012051105,0.27444860339164734,0.725551426410675,0.037109375,1.0,1.0,2,0.9744731783866882,"error_count desc, error_confidence desc, sample_id asc"
9,c2a_002380,c2a,1,0,1,0,0.9730921387672424,0.012582843191921711,0.00716948788613081,0.007155498955398798,0.6613215804100037,0.33867835998535156,1.0,0.82275390625,1.0,2,0.9730921387672424,"error_count desc, error_confidence desc, sample_id asc"
10,c2a_002089,c2a,1,0,1,0,0.9730697870254517,0.012843258678913116,0.007332175504416227,0.006754716392606497,0.6766199469566345,0.32338011264801025,1.0,0.99462890625,1.0,2,0.9730697870254517,"error_count desc, error_confidence desc, sample_id asc"
11,c2a_002890,c2a,1,0,1,0,0.9726660847663879,0.012812881730496883,0.007635992020368576,0.006885083392262459,0.6655464172363281,0.3344535529613495,1.0,0.9765625,1.0,2,0.9726660847663879,"error_count desc, error_confidence desc, sample_id asc"
12,c2a_001829,c2a,1,0,1,0,0.9721687436103821,0.013989660888910294,0.006455167196691036,0.007386444602161646,0.615997850894928,0.3840021789073944,1.0,0.96826171875,1.0,2,0.9721687436103821,"error_count desc, error_confidence desc, sample_id asc"
